age,income,hours_studied,previous_score,sleep_hours,pass_exam
50,79383,8,88,5.2880361016686095,1
40,85545,5,51,4.297623501738858,0
41,102180,5,80,7.018977264746939,1
54,107958,4,86,7.432949567463034,1
52,29865,4,57,4.5724381903295255,0
57,22219,1,60,5.919194415224897,0
39,59809,7,52,6.28118254477771,1
44,25287,7,60,5.845265108804583,1
52,54387,0,47,4.605125002425965,0
18,28512,7,85,6.094738950937377,1
52,21342,4,79,7.75589023904209,1
54,83076,1,85,4.355038322666277,0
31,39216,1,46,4.400900070409517,0
20,113070,5,62,5.773856459179921,1
18,99767,8,83,8.708628558094626,1
22,117829,0,71,7.342863233614571,0
43,46614,5,50,7.393349783362824,0
31,56258,8,61,5.809599954189325,1
56,113789,7,61,6.968303956042693,1
44,62078,5,82,4.050655920138717,1
26,103524,2,64,7.180480232047711,0
32,116573,7,61,8.566434737881185,1
32,32219,8,67,7.062867341724096,1
43,20235,0,68,8.368492967331726,0
59,62929,8,52,7.619865277330469,1
30,87444,5,57,4.602792082018452,0
49,28567,5,41,8.512266536429209,0
56,90792,3,68,4.332219221778875,0
49,85441,0,60,6.669837362738819,0
21,104555,9,54,4.710685618967288,1
47,93698,7,91,4.0585330536545206,1
54,25415,1,66,6.110171300638195,0
40,56159,0,89,5.475203538270781,0
56,63925,1,70,6.430002468988015,0
32,25951,0,54,6.885999433672755,0
46,107388,0,90,4.218695361544737,0
53,28007,8,62,4.615016475618728,1
30,61832,0,63,6.793211982252126,0
49,78596,3,83,5.715836765863291,1
24,50523,9,52,7.64586743774724,1
39,108861,5,61,7.261458242959698,1
45,106740,6,82,8.228021814949534,1
19,35524,1,76,7.462464133346126,0
59,39282,5,72,6.149655386950741,1
23,43930,6,95,7.364833111972162,1
45,20077,9,42,5.376905871277092,1
45,40611,9,93,5.531567493891064,1
37,36984,1,58,7.944925799603967,0
47,34060,1,62,6.232097582007911,0
28,102985,9,68,7.991901702591763,1
45,104056,6,69,8.112111868341392,1
42,63303,0,78,8.28781168830642,0
56,79207,7,83,8.583176179206037,1
50,95046,2,86,6.154926102566481,1
18,49287,5,64,5.594334091605694,0
44,113709,8,76,6.910993732970569,1
30,59711,5,86,5.855862117188138,1
58,31954,8,47,7.005370834001164,1
20,93340,6,81,7.527929313219123,1
56,92101,8,97,7.4420250924606846,1
23,91520,1,55,5.872764435100606,0
25,107062,7,47,4.834301008493764,1
44,38574,7,40,6.152646692311038,1
26,29184,1,83,4.712970720409544,0
54,39096,3,44,8.450485175919042,0
50,87728,6,42,5.729387303689287,1
59,54016,3,40,4.772298736116619,0
41,31246,3,43,4.1272387995287545,0
32,65558,5,79,7.2291119314324215,1
49,38381,9,74,7.184511587273716,1
49,56455,5,71,5.703020832906459,1
41,112263,9,81,4.358559444238255,1
58,24018,2,73,6.04814447447616,0
29,31302,8,82,5.556087475316968,1
56,87506,9,64,7.385603198675047,1
19,61157,1,49,7.028896247263452,0
20,74917,5,60,5.8229686409877,0
54,112738,6,85,5.089462771274951,1
34,116646,8,78,8.940179830777959,1
19,103122,2,66,6.270008105980574,0
19,44519,9,66,7.441371178901186,1
45,116809,2,41,4.702764837891804,0
40,107487,6,80,6.427948498296989,1
54,76819,3,87,4.137683599347327,1
49,100910,7,52,6.52727558955225,1
50,91324,6,48,8.82008703558851,1
18,25408,4,91,5.921033564929001,0
36,79379,6,75,4.194980062874558,1
19,45053,2,61,4.1547789545967175,0
43,29446,1,81,5.939933799734348,0
49,20922,5,65,4.80012468231597,0
23,118723,1,97,4.116760481640929,0
49,71356,2,93,7.781068069750884,1
21,30789,5,51,6.2926150444094535,0
28,117720,4,56,5.446223859863273,1
34,86656,7,53,8.500415915082403,1
55,64028,8,53,4.580694801002628,1
41,84484,2,96,8.779594144776595,1
22,52154,9,73,5.569833586886764,1
51,102870,2,92,8.442018361543406,1
23,22336,2,96,7.014714382397308,0
39,87779,5,59,8.133536798707437,1
28,39029,0,50,8.920065816052322,0
33,79201,6,55,5.442027189093729,1
50,52265,0,90,8.805677427037965,0
26,63872,4,70,5.947409474512102,0
23,66197,9,94,5.927559523684612,1
33,75180,7,45,5.701935521272528,1
46,43710,3,95,6.707038036737925,1
20,49486,4,58,4.770725215892435,0
37,91907,3,76,6.768557426790056,1
53,91895,3,97,6.70852406205002,1
36,84435,7,43,7.80950906302435,1
43,60631,1,86,8.168249809687929,0
20,40103,0,43,6.20220675156212,0
36,84772,2,59,5.511666246757469,0
37,34382,8,49,5.296674486585472,1
49,104291,3,63,4.97311918352436,0
24,23756,9,93,4.288237910995124,1
58,40609,4,74,5.712239894173567,1
50,36478,1,65,5.351238460653916,0
57,59666,3,76,8.832086929332036,1
56,95683,1,77,6.7885441312502195,1
35,119097,1,60,5.736385195152538,0
57,91315,3,93,6.90233800496848,1
18,97834,5,79,4.695983506728478,1
28,34153,6,78,6.220218746011015,1
45,96325,9,60,7.131171607105319,1
42,32999,2,49,6.4444891589622575,0
40,75318,2,77,6.008894003271621,0
48,20814,9,85,8.969241944498492,1
47,96077,5,43,8.401573810744635,1
59,110474,2,99,7.117029790797201,1
52,22443,1,96,6.846886805911414,0
24,95993,7,84,7.103302399122921,1
33,95916,4,59,5.006560539112167,0
43,93319,0,56,5.975688716321593,0
19,37368,2,94,4.197297664454497,0
18,35328,9,46,6.377730187434134,1
29,76942,7,43,6.715122919788316,1
22,111751,3,68,5.1387486805160485,0
54,119131,6,53,8.82014423582757,1
49,47306,9,42,8.54727305468621,1
26,105451,1,63,7.61071617727953,0
58,59915,6,76,6.666933143826813,1
52,57219,4,55,8.349845798238425,1
36,100879,4,97,4.653261719117315,1
33,84644,5,94,7.952548971374425,1
20,80279,8,91,4.6241040698342415,1
37,73028,5,43,7.971053312747027,1
41,20126,7,95,5.378837841256785,1
50,72329,6,63,8.385452905090943,1
41,47632,8,73,8.72021046912699,1
28,85310,3,69,4.743979847025578,0
25,75176,1,57,6.313378025326967,0
53,106066,6,58,8.904936890813426,1
55,64327,5,70,6.4170371798657335,1
57,88904,0,99,8.317737612572726,1
37,23797,8,99,6.943657610656599,1
52,67882,8,58,5.876649539598009,1
42,33718,1,88,5.428917777629351,0
52,54560,2,85,5.016115455430437,0
42,96589,4,58,7.808990956888486,1
46,42116,4,61,5.93270253411514,0
35,56244,0,63,6.5563773110037555,0
35,21645,7,84,6.461627400005909,1
19,67523,7,51,6.886395146165656,1
52,39256,3,69,8.327885728122762,1
33,73173,6,97,8.903696717917146,1
58,57430,9,77,6.037921042869085,1
53,59282,2,92,8.137594610531515,1
50,83374,5,70,7.822638973273588,1
21,88244,9,75,6.8676447572778665,1
50,31694,9,58,8.780235718059664,1
31,76264,8,87,5.002372577642014,1
38,95060,0,84,4.546321051548107,0
37,117416,4,75,8.26980983477711,1
25,77545,3,69,6.195749083168741,0
24,59224,7,94,8.234844271035303,1
20,117945,0,88,8.465451025977075,0
34,33224,8,94,4.312287968095357,1
50,60738,5,72,8.417323814930302,1
29,45150,3,57,6.241595276847111,0
39,83731,8,91,6.552162445021161,1
39,69688,4,88,7.132962555466051,1
47,119929,4,98,8.631913033650434,1
55,93509,4,67,4.0955804721488205,1
55,28577,0,98,6.3842173415890855,0
25,28070,0,86,7.4386102121528035,0
44,28666,7,50,7.613534788491142,1
44,77761,7,96,7.46266215768554,1
51,56368,5,99,4.672175647040609,1
38,26783,3,93,5.496977941858406,0
47,61914,1,84,5.793577627085067,0
50,90507,1,72,8.022186038397525,0
45,99026,8,56,5.393799362072765,1
50,87526,4,45,5.053524819336015,0
22,90835,3,43,8.78724009519048,0
36,65765,9,59,4.044316425567344,1
21,39956,0,87,8.98910427840989,0
52,107895,6,86,7.3841064942869785,1
34,66240,2,66,8.142346497245585,0
45,57148,5,54,5.473096981730966,0
47,114270,4,45,4.0715763883353,0
46,24757,4,86,7.68934759280765,1
23,39097,4,53,8.17072298500338,0
52,30395,0,99,7.702380659767596,0
58,36241,0,50,4.714251436504193,0
54,47696,2,78,7.767139611284845,1
41,90480,9,48,7.844613910538205,1
46,66163,3,65,7.292702578350275,0
48,39816,4,55,7.830579663977931,0
52,69840,1,44,8.22960719838866,0
50,72853,7,96,7.068020571187292,1
38,44917,1,91,4.443023569848395,0
49,116731,8,49,6.438139048336055,1
40,41566,1,89,4.388246673358025,0
50,95452,8,42,6.037715155162154,1
20,82823,6,52,6.035532445628139,1
35,40806,7,82,4.330049220701208,1
42,95520,1,88,5.744102669847397,0
59,21759,6,69,4.554990493956574,1
48,61949,5,93,8.041176050046111,1
20,112374,3,84,8.738440129822354,1
57,22482,6,45,4.361582376289693,0
41,44442,3,56,8.775576036458506,0
49,53719,1,98,6.612882996683726,1
39,78066,9,84,5.497828389769369,1
40,113501,6,90,4.384310376380817,1
19,22079,7,92,6.503121340352089,1
44,22717,1,58,7.972577722453743,0
59,79676,4,81,7.535432386333491,1
19,47952,0,74,4.251130057319869,0
43,106444,6,85,4.364509176839517,1
34,62460,7,65,6.014366413163185,1
57,110397,5,90,5.476452470239717,1
50,92847,4,44,5.161921615280239,0
26,113607,5,68,5.405022494543568,1
56,109106,1,76,8.017413716484423,1
46,38449,0,59,8.64614026815927,0
59,53536,6,88,6.025513472637832,1
43,84077,6,60,8.530555010662486,1
52,58258,9,49,5.60747850623941,1
42,68302,9,44,6.3821849317189585,1
41,48865,1,75,5.130144989079999,0
30,26645,1,45,7.20238021087922,0
24,58000,0,65,8.894905575874045,0
53,46737,9,43,7.017465480216893,1
37,31485,7,78,5.789070420567745,1
18,58565,7,78,7.239087229952641,1
25,45522,0,89,4.614603392326938,0
33,85155,7,74,8.443295401326992,1
31,75168,8,40,6.515419753899182,1
29,72487,3,63,6.24674871019821,0
40,32342,0,96,6.929323942267596,0
32,60806,0,75,7.123919313947012,0
45,68770,2,45,4.358879031132565,0
51,98623,4,80,7.413086106117012,1
19,119785,4,93,5.209658401577648,1
49,95629,8,85,7.569763162532949,1
40,72603,9,99,8.112673971920984,1
39,101974,1,83,8.019792537762601,1
42,46399,1,99,6.762504837039446,0
39,105382,5,96,6.600849461553755,1
39,101244,8,70,4.714379806697059,1
59,96534,0,59,7.876730752015678,0
23,75106,8,63,5.357046902233572,1
32,50678,8,64,6.483477114089733,1
54,96218,8,75,5.421370464637583,1
50,83230,4,60,4.669141814998466,0
25,94055,8,69,7.147788484458683,1
22,76373,3,63,4.271660174114519,0
56,51480,1,83,7.743226170631,0
21,105230,5,81,5.5879339763055835,1
23,88836,3,69,4.000673465022427,0
49,92258,5,61,6.555645696186149,1
47,59986,2,67,4.234259542638016,0
52,44160,5,46,5.3808477891044975,0
57,105595,1,74,7.534882437278581,1
33,99111,1,94,4.31344810810933,0
30,84929,8,67,8.196692461780012,1
59,93506,6,53,4.019099613292916,1
47,54911,2,95,5.2341193460095115,1
36,107127,0,49,7.704520280760358,0
34,51821,7,55,5.581350748646534,1
36,95039,5,55,4.509461940330068,1
45,80535,6,93,5.80116959400214,1
43,104458,8,70,5.351966431922627,1
54,32175,4,81,8.213559510802774,1
43,74771,0,64,5.566739587925715,0
40,106925,9,52,7.944662358880036,1
26,86358,6,45,8.459360724053674,1
29,37327,4,83,6.169087097882647,1
18,67057,2,48,8.54971571927196,0
18,26150,8,84,5.886590269815964,1
51,24425,0,75,8.82039208245054,0
49,36032,0,95,4.446447622627865,0
42,22198,0,82,7.435096332516213,0
57,80500,2,59,6.469070202284644,0
18,73394,5,57,5.938244027278236,0
33,40079,9,97,7.163559393743005,1
56,56220,2,82,7.519285458171656,1
22,61874,7,96,4.021816348251545,1
39,33859,9,60,4.834765443735994,1
46,70460,1,43,7.565230253171594,0
20,51419,8,89,7.331927067891032,1
29,28705,2,72,8.830237525643387,0
43,62880,4,66,7.805188951253915,1
33,43236,9,46,8.75386353865669,1
54,107955,7,45,7.512702507674035,1
39,105514,1,54,5.490261043197216,0
46,35358,5,57,4.526824611254282,0
31,119713,4,71,7.909119316724678,1
45,114914,9,95,7.220746107379579,1
22,96918,8,50,4.240930061966481,1
47,34596,4,59,5.800252329504891,0
22,53572,1,63,8.78399907742143,0
29,98757,4,54,6.502005728551007,0
33,21279,3,87,6.163645680098523,0
43,83197,6,46,6.2884980257964695,1
43,82516,5,60,5.044413620025819,1
38,27083,1,81,5.843535854323976,0
56,37771,4,65,5.849066279935883,0
53,49975,6,83,4.261775100937362,1
50,65648,6,95,7.837838142589591,1
47,68285,4,53,6.082522159519395,0
54,39063,8,96,8.110899434082118,1
40,87642,3,76,8.251740005599476,1
27,110093,2,97,5.05997027349329,1
22,106143,3,60,7.286767410850643,0
53,57599,4,57,6.361409020814909,0
51,71920,5,44,8.400783689607426,1
48,48529,2,42,5.07870339588227,0
27,55954,1,62,7.389066001550221,0
36,47856,3,65,7.038760611263613,0
49,22573,4,76,5.476507387859164,0
18,98344,3,63,4.6830045182558635,0
22,55367,2,88,7.258198802386383,0
21,119608,7,58,7.692987290661653,1
33,80774,9,90,5.57813671881675,1
41,43752,3,64,7.224163020111569,0
33,75029,1,60,5.975654538057516,0
19,37685,1,51,7.566034416413089,0
45,71693,0,96,4.996076374470266,0
49,75961,3,80,8.451075013180873,1
44,96908,9,72,5.437047982327899,1
37,94532,8,89,5.8389299387807645,1
41,101994,6,92,4.290459760401749,1
29,76133,9,43,4.557561061606382,1
52,117425,6,81,6.579309513561641,1
50,81268,6,96,5.337963383639858,1
50,112201,7,46,8.177401128710972,1
54,58243,0,61,4.073466943274769,0
29,77384,9,94,5.89547024335968,1
20,51653,9,72,5.686727733845464,1
18,46657,7,56,4.096638154588005,0
50,59952,3,63,4.621841995002551,0
57,42180,3,73,6.068213374593176,0
27,117432,3,67,6.464322922237233,1
46,98411,5,97,6.021448736274346,1
30,21622,6,82,6.65468839206047,1
29,68756,5,80,6.9756583745284075,1
48,60809,0,78,4.049619105639178,0
19,36725,7,61,6.32047579726752,1
52,81396,9,88,8.81749620443794,1
40,71226,6,56,6.5951614006477435,1
34,101182,5,73,7.387711337294766,1
43,102565,5,45,5.5593192895844155,1
25,49402,4,85,7.869956890763813,1
46,24263,5,45,7.864607409380575,0
43,116523,8,73,6.606480238270695,1
27,66828,9,40,8.880069116396069,1
43,67924,8,49,4.627751073813267,1
51,94182,9,60,4.084738324447905,1
58,113065,7,44,7.85079105878548,1
24,79052,9,41,8.035777686824414,1
21,31664,8,61,4.601036145602881,1
28,55737,9,87,5.327914164793031,1
46,109563,7,96,4.087761816833145,1
53,49373,7,41,5.466543053902823,1
42,56397,0,49,7.8657093695933575,0
38,106145,9,73,6.589802638562895,1
53,58709,4,55,5.740477965841441,0
27,81120,3,87,5.858696474531651,1
54,39250,1,90,4.006768128577341,0
26,41172,7,78,5.499002637826179,1
41,31555,2,61,7.232293708189653,0
52,107410,3,51,8.870972219081786,1
52,98617,6,63,8.235304134919497,1
53,73276,9,86,4.117974823227645,1
35,77492,8,79,8.492803023374197,1
56,73002,1,77,7.91599206649313,0
49,109599,2,99,7.901880617854902,1
41,92355,3,98,6.289978795017857,1
40,111248,9,49,5.990026464772514,1
49,44762,0,74,5.514578644165963,0
54,31046,6,90,4.328474294771829,1
29,116999,1,88,5.141176817468495,0
30,48769,4,71,5.233018174890123,0
40,73302,0,46,6.420385348551008,0
42,43150,2,60,7.737222032983469,0
52,88247,1,59,6.369049141989733,0
58,24853,0,65,4.289222247235803,0
47,114613,6,43,8.78894900494102,1
34,109399,4,85,8.713621595470562,1
37,41792,0,91,7.925947715742042,0
42,79129,5,61,8.956639507821102,1
39,94478,4,54,6.7224116640013145,1
30,87298,2,95,8.81384175126603,1
36,51987,6,79,4.378025203083753,1
53,35850,9,60,5.828403741306857,1
29,32112,8,54,5.126906340033829,1
58,44058,8,61,4.97916542067135,1
36,65420,8,91,4.704014744463381,1
29,58890,1,67,7.112068207829983,0
26,86017,2,53,7.906609278736525,0
24,67304,6,66,6.891491997101803,1
45,52921,4,80,4.734813547941048,1
31,21524,1,79,8.055618849667354,0
48,35048,2,97,7.179773535818642,1
36,55111,9,67,5.9408285306349775,1
33,57904,5,65,7.370651477680315,1
22,74912,6,88,5.299524896214164,1
52,54008,8,41,5.725961042471052,1
29,20060,0,64,8.587429215659952,0
42,94666,6,95,5.452522528357102,1
38,103559,7,42,6.349941340789683,1
53,75337,2,47,8.450705686980072,0
40,33350,3,83,7.538606751337637,1
33,44354,9,72,4.311016130823514,1
56,65186,5,81,4.736515221394852,1
59,48145,9,91,4.039207953859584,1
56,54020,6,74,7.154608951145817,1
31,106123,3,45,6.238367127052092,0
48,95186,7,78,4.671374254511377,1
22,105469,4,91,8.789670605283852,1
52,40581,0,62,6.6482986197280995,0
40,108929,3,64,5.209466470564446,0
46,43051,2,98,6.503017855773537,1
28,71474,8,89,7.398101663675539,1
35,111748,7,82,4.381196089867823,1
29,89626,0,58,5.37351907523946,0
26,26960,5,44,8.034827454419968,0
27,55772,8,90,6.2983243520133065,1
34,41520,6,50,6.732885710161474,0
55,69481,3,95,6.164080011047346,1
24,56408,0,51,4.219499713215026,0
30,114006,1,49,4.82874889910078,0
57,77134,4,47,6.2277081937094545,0
59,40491,4,63,5.045927327039639,0
26,21341,7,99,4.249895143298394,1
44,64623,5,67,8.218248320259118,1
19,110327,7,80,8.90596264582058,1
22,20338,1,75,7.965714369983697,0
46,91431,2,76,8.268924608523335,1
54,32254,5,60,5.2098856515852265,0
55,71860,9,47,8.803134877565999,1
36,31344,2,94,4.984628522267142,0
25,21750,5,48,8.757149051809161,0
18,74756,5,86,8.974096469829755,1
39,87957,1,54,7.5586140287302435,0
34,78053,6,87,8.90571865895911,1
24,90855,1,85,6.847698897835518,0
42,35896,5,79,5.297708915880452,1
21,75761,0,57,6.184979428328104,0
53,82552,2,81,6.96780467689393,1
23,97454,1,99,4.365407810135075,0
48,110600,6,59,7.111716323086231,1
36,47935,3,45,8.905889183811473,0
56,57641,7,51,4.9505382489186385,1
44,49711,5,41,7.962975581441917,0
27,90342,9,46,8.539493968898096,1
43,32182,3,55,8.718507964101104,0
36,107833,4,42,8.800678022027236,1
56,76276,8,84,6.60729819360736,1
20,39541,6,42,8.886539539957518,0
30,114457,9,66,7.786551035672194,1
45,102310,8,89,4.808357181184809,1
37,64813,6,82,6.38450053233985,1
45,57198,0,79,7.59165587686002,0
25,28820,7,77,5.236701579095417,1
58,44070,3,72,7.203075917744437,1
56,89768,2,67,7.3330023952330965,1
18,31122,6,40,4.81349871904283,0
20,100559,2,94,6.8254265622637815,1
30,93543,7,47,7.858134554893038,1
45,103441,5,76,6.49447832267971,1
42,61786,4,71,4.060515583880537,0
50,114934,3,99,4.045192345396461,1
55,119804,7,87,5.7851467198500615,1
23,26737,7,82,8.63097034215891,1
49,56062,0,76,5.143383898018044,0
38,74237,8,43,7.171818444358436,1
33,71571,4,69,5.110379353466603,0
38,45510,3,45,5.608349948297743,0
28,39426,5,85,8.24021044800742,1
54,57265,5,93,7.644307211349735,1
53,37850,1,58,4.476996386566054,0
52,86150,7,71,6.143510104932168,1
36,107312,6,48,4.145848818226322,1
37,109613,0,51,6.404450733015045,0
35,94910,4,50,7.31217005850534,1
58,72375,5,85,4.592513117990758,1
31,55435,3,94,5.444424694545829,1
32,116443,1,55,5.989183127510785,0
48,77132,3,40,8.597655123280248,0
18,98945,0,84,8.966275077114819,0
20,102050,6,94,4.22455649497808,1
33,115402,1,92,7.80503961747696,1
40,22983,1,60,5.858620332011716,0
28,117241,8,69,5.9622909311474,1
29,40662,4,52,7.771324866735114,0
27,43510,1,73,8.592132160727044,0
49,98187,8,43,8.754642972512741,1
33,60998,8,67,6.885612930191604,1
25,76846,0,77,5.785605796502514,0
55,114071,2,97,7.937745429293896,1
29,26640,3,70,5.255006916311501,0
41,64547,6,98,6.820370144167589,1
45,74620,9,94,5.792892307624365,1
25,35317,3,66,7.283155368539381,0
45,27564,1,44,5.201994564467535,0
53,47345,6,64,4.957964728674129,1
43,114223,5,42,8.591195433377186,1
25,99273,2,72,4.509018414747684,0
45,94859,5,43,6.529789538674658,1
45,100765,5,64,5.104263914815045,1
54,94038,4,59,4.1946498166283375,1
58,72393,3,73,4.180094091457132,0
53,86081,9,65,4.876108860529136,1
44,49430,0,44,8.33385177253,0
34,95532,9,74,5.4123937198851335,1
26,47788,5,67,8.752295852876479,1
50,115505,1,68,6.908111464945968,0
37,68543,2,48,6.183070948843831,0
30,33919,7,91,6.900444173347273,1
45,89346,9,77,6.583491926131339,1
46,116122,5,89,7.793881268786626,1
30,59974,2,45,5.412480329864261,0
52,36371,6,58,5.765251958001512,1
23,65084,3,99,8.470471512666254,1
35,49629,8,83,8.732282565752026,1
22,71184,4,96,8.462791137432372,1
42,81916,2,50,6.097239969786568,0
19,93972,1,41,7.901827515034409,0
27,82187,1,86,6.381678666505493,0
47,32984,2,83,6.487699260730511,0
22,53039,1,83,5.023400545286419,0
50,105431,3,48,6.9556515162925825,0
18,103691,1,60,4.93067948876674,0
35,78606,9,63,5.657823495335968,1
49,30616,8,73,8.275151008099677,1
28,70072,1,61,5.035379046054276,0
38,44574,8,42,4.355791425867164,1
43,23430,5,51,4.345037963064081,0
42,32676,0,67,8.70392260251554,0
39,30816,3,69,6.534602189809173,0
44,52733,0,65,6.0470603590850915,0
30,105680,5,87,8.054392905039592,1
50,22050,3,60,8.179129639552581,0
51,53933,2,67,5.660955165578023,0
58,44951,2,95,7.468090287368977,1
52,52413,8,65,7.855614079259433,1
18,54801,5,72,7.273253434329773,1
38,75619,8,60,4.757975374000496,1
23,52913,4,74,8.379415417585285,1
45,60600,1,91,6.695472763680043,0
34,77775,7,73,5.412362131850019,1
22,110816,4,80,6.1261409271884695,1
48,110093,1,90,4.187855451994537,0
22,55400,3,86,4.639334006112088,0
55,24494,8,57,7.827733752579304,1
20,100688,3,97,4.00005817377683,1
40,109431,3,50,6.082829142411461,0
54,94691,1,96,6.612550905427942,1
54,117419,5,62,4.273172100004862,1
27,63001,1,87,8.865390814861664,0
27,87364,6,61,5.13062665624836,1
36,65028,2,56,5.520993598181404,0
34,117659,2,44,5.519712561275137,0
38,57573,4,83,5.152083310586749,1
31,20806,2,50,4.007369110431557,0
26,76638,1,69,7.646723970439982,0
18,49757,9,54,8.834227498996427,1
30,54636,8,66,5.121467416425226,1
21,100097,1,74,7.315235959017112,0
18,68280,1,72,7.709481634793575,0
57,44262,7,59,8.242126895452625,1
49,100435,8,55,6.113145985068046,1
51,82211,6,73,5.514654528202146,1
45,74842,2,41,5.6264756701151555,0
48,76979,8,74,7.563106665492564,1
25,101470,2,79,8.083897332528181,1
56,58197,4,95,4.908069838783013,1
43,61844,8,67,5.854705040788826,1
51,84754,2,86,8.50970098374575,1
20,54157,6,78,8.033467598473695,1
29,97129,0,45,8.92429201381238,0
18,60042,3,48,7.771241298410404,0
22,81665,3,59,5.965976005139611,0
47,102856,6,99,6.953189169973189,1
47,47376,7,40,7.305071271236601,1
34,75554,0,47,4.392279081585619,0
40,34199,4,94,6.722484795519326,1
32,101412,6,62,7.546604142363048,1
54,70948,3,42,4.836606520005302,0
38,93781,3,43,7.903158587127786,0
31,92750,3,97,6.918863902570559,1
19,86262,5,64,8.761108928487973,1
28,66600,6,86,4.212111491034459,1
56,96898,1,77,5.326630687777335,0
55,82483,4,54,7.00776939649912,1
51,38297,3,60,5.482799561029653,0
55,50448,2,74,7.572120820356211,0
51,46172,6,96,7.795026412609655,1
35,62874,5,92,4.512579820332372,1
47,27657,6,92,6.569272321033838,1
32,104386,4,85,6.5444527779552795,1
44,45425,5,91,5.846403851077705,1
51,46685,4,53,8.66462431284836,1
55,44578,6,75,8.137531599366106,1
50,48831,1,51,7.486046909548184,0
41,27906,4,56,7.571633178674988,0
32,81413,5,78,6.308580719065596,1
47,74028,5,48,8.604972605482878,1
59,27287,4,74,7.472977136266427,1
